Sample,Final_U238Pb206,Final_U238Pb206__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE,238,207,,
2,5.971664425,0.561283091,0.102218773,0.001482421,9.399106364,1.450243391,0.280641546,0.000741211
2,8.171960898,0.280808945,0.089259196,0.001285431,3.436249249,1.44011044,0.140404473,0.000642716
2,3.972406466,0.091736542,0.103865693,0.001491263,2.309344293,1.435760892,0.045868271,0.000745632
2,5.784263985,0.334921566,0.102877022,0.001476771,5.790219237,1.43547215,0.167460783,0.000738386
2,4.284099266,0.086806241,0.089578767,0.001282422,2.026242522,1.431613811,0.043403121,0.000641211
2,4.509890223,0.140804198,0.103838991,0.001480217,3.122120296,1.425492472,0.070402099,0.000740109
2,9.5895519,0.328252427,0.107827209,0.001536957,3.423021539,1.425388837,0.164126214,0.000768479
2,5.349960964,0.221072399,0.088883678,0.001265296,4.132224524,1.423541452,0.1105362,0.000632648
2,4.571479523,0.211806965,0.104197774,0.001480762,4.633225719,1.421107134,0.105903483,0.000740381
2,7.299461181,0.140868541,0.075739876,0.001072616,1.929848485,1.416183993,0.070434271,0.000536308
2,9.905393855,0.638588997,0.087011912,0.001226727,6.44688143,1.409838,0.319294499,0.000613364
2,14.64253693,0.54670103,0.08907702,0.001247357,3.733649658,1.400312898,0.273350515,0.000623679
2,3.405348488,0.056246175,0.103224169,0.001443907,1.651700999,1.398807095,0.028123088,0.000721954
2,7.371813979,0.144243545,0.090046884,0.001251437,1.956689974,1.389761582,0.072121773,0.000625719
2,3.876724697,0.086711274,0.102542952,0.00142023,2.236714773,1.385009864,0.043355637,0.000710115
2,3.684720946,0.112738404,0.102705195,0.00142139,3.059618507,1.383951416,0.056369202,0.000710695
2,4.231764291,0.068834014,0.089029828,0.001229493,1.626603215,1.380989976,0.034417007,0.000614747
2,4.462354939,0.059029975,0.089636029,0.001236456,1.322843561,1.379418537,0.029514988,0.000618228
2,9.760719323,0.215453181,0.081515233,0.001124027,2.207349416,1.378916503,0.107726591,0.000562014
2,4.200069013,0.103794121,0.104865145,0.001444069,2.471247989,1.37707243,0.051897061,0.000722035
2,4.282612964,0.101924799,0.089446366,0.001224279,2.379967554,1.368729726,0.0509624,0.00061214
2,5.191045812,0.137293114,0.089834751,0.001224842,2.644806441,1.363438966,0.068646557,0.000612421
2,4.646270317,0.059876455,0.086930457,0.001182248,1.288699342,1.35999285,0.029938228,0.000591124
2,5.963858823,0.077636056,0.087207522,0.001184268,1.30177555,1.357988363,0.038818028,0.000592134
2,5.75457495,0.114635066,0.074323832,0.001008408,1.992068346,1.356776115,0.057317533,0.000504204
2,7.84272089,0.251847649,0.09128887,0.001238111,3.211227998,1.356256245,0.125923825,0.000619056
2,25.78957831,1.327723058,0.100561258,0.001361003,5.148293012,1.353406896,0.663861529,0.000680502
2,6.156682393,0.17353157,0.104637169,0.001414775,2.818588956,1.352076909,0.086765785,0.000707388
2,6.062316462,0.096745614,0.087538671,0.001181255,1.595852256,1.349409337,0.048372807,0.000590628
2,5.80186838,0.201379951,0.085887681,0.001156646,3.470950008,1.346696041,0.100689976,0.000578323
2,4.760025651,0.099902367,0.088985817,0.001197353,2.098777913,1.345554876,0.049951184,0.000598677
2,6.383315642,0.129466581,0.074497685,0.000996566,2.028202713,1.337714051,0.064733291,0.000498283
2,4.378135581,0.132488069,0.105453102,0.001406695,3.02612988,1.333953173,0.066244035,0.000703348
2,3.511273764,0.060567643,0.103689657,0.001377119,1.724947898,1.328116072,0.030283822,0.00068856
2,5.761443489,0.193520401,0.10398406,0.001379323,3.358887428,1.326475423,0.096760201,0.000689662
2,4.578193602,0.106439211,0.102217523,0.001354374,2.324917211,1.324991998,0.053219606,0.000677187
2,3.655111694,0.145825429,0.104719997,0.00138517,3.989629899,1.32273686,0.072912715,0.000692585
2,8.374174629,0.422143733,0.088495099,0.001169168,5.041018986,1.32116695,0.211071867,0.000584584
