dataset,missing_sample_id,reason
McNaughton Legacy SHRIMP,CALOOLI,No IMS point within tolerance
McNaughton Legacy SHRIMP,CARB,No IMS point within tolerance
McNaughton Legacy SHRIMP,CD319 716 SMB,No IMS point within tolerance
McNaughton Legacy SHRIMP,CHD-319,No IMS point within tolerance
McNaughton Legacy SHRIMP,CHD383,No IMS point within tolerance
McNaughton Legacy SHRIMP,CSB1,No IMS point within tolerance
McNaughton Legacy SHRIMP,CU HILLS,No IMS point within tolerance
McNaughton Legacy SHRIMP,D2158538,No IMS point within tolerance
McNaughton Legacy SHRIMP,DI-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,DL1,No IMS point within tolerance
McNaughton Legacy SHRIMP,DL2,No IMS point within tolerance
McNaughton Legacy SHRIMP,DL3,No IMS point within tolerance
McNaughton Legacy SHRIMP,DL4,No IMS point within tolerance
McNaughton Legacy SHRIMP,DUF SPIN,No IMS point within tolerance
McNaughton Legacy SHRIMP,DYKE 2 240/4,No IMS point within tolerance
McNaughton Legacy SHRIMP,E178,No IMS point within tolerance
McNaughton Legacy SHRIMP,E179,No IMS point within tolerance
McNaughton Legacy SHRIMP,E203,No IMS point within tolerance
McNaughton Legacy SHRIMP,E214,No IMS point within tolerance
McNaughton Legacy SHRIMP,E225,No IMS point within tolerance
McNaughton Legacy SHRIMP,E227,No IMS point within tolerance
McNaughton Legacy SHRIMP,E229,No IMS point within tolerance
McNaughton Legacy SHRIMP,E233,No IMS point within tolerance
McNaughton Legacy SHRIMP,E265,No IMS point within tolerance
McNaughton Legacy SHRIMP,E313,No IMS point within tolerance
McNaughton Legacy SHRIMP,E314,No IMS point within tolerance
McNaughton Legacy SHRIMP,E319,No IMS point within tolerance
McNaughton Legacy SHRIMP,E320,No IMS point within tolerance
McNaughton Legacy SHRIMP,E321,No IMS point within tolerance
McNaughton Legacy SHRIMP,E322,No IMS point within tolerance
McNaughton Legacy SHRIMP,E324,No IMS point within tolerance
McNaughton Legacy SHRIMP,E325,No IMS point within tolerance
McNaughton Legacy SHRIMP,E337,No IMS point within tolerance
McNaughton Legacy SHRIMP,E349,No IMS point within tolerance
McNaughton Legacy SHRIMP,E350,No IMS point within tolerance
McNaughton Legacy SHRIMP,E353,No IMS point within tolerance
McNaughton Legacy SHRIMP,E356,No IMS point within tolerance
McNaughton Legacy SHRIMP,E357,No IMS point within tolerance
McNaughton Legacy SHRIMP,E374,No IMS point within tolerance
McNaughton Legacy SHRIMP,E375,No IMS point within tolerance
McNaughton Legacy SHRIMP,E385,No IMS point within tolerance
McNaughton Legacy SHRIMP,E387,No IMS point within tolerance
McNaughton Legacy SHRIMP,E392,No IMS point within tolerance
McNaughton Legacy SHRIMP,E396,No IMS point within tolerance
McNaughton Legacy SHRIMP,E400,No IMS point within tolerance
McNaughton Legacy SHRIMP,E401,No IMS point within tolerance
McNaughton Legacy SHRIMP,E410,No IMS point within tolerance
McNaughton Legacy SHRIMP,E412,No IMS point within tolerance
McNaughton Legacy SHRIMP,E416,No IMS point within tolerance
McNaughton Legacy SHRIMP,E47,No IMS point within tolerance
McNaughton Legacy SHRIMP,E525,No IMS point within tolerance
McNaughton Legacy SHRIMP,E7,No IMS point within tolerance
McNaughton Legacy SHRIMP,E74/E75,No IMS point within tolerance
McNaughton Legacy SHRIMP,EMD-10,No IMS point within tolerance
McNaughton Legacy SHRIMP,EMD-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,EMD-2 LEACHED,No IMS point within tolerance
McNaughton Legacy SHRIMP,ENGD5: 133.6-137.5,No IMS point within tolerance
McNaughton Legacy SHRIMP,EQ65,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-01 COARSER,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-01 FINER,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-03,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-04,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-10 COARSER,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-10 FINER,No IMS point within tolerance
McNaughton Legacy SHRIMP,FB-12,No IMS point within tolerance
McNaughton Legacy SHRIMP,FL11 PYRITE,No IMS point within tolerance
McNaughton Legacy SHRIMP,FL11 ZR NO INCLUSIONS,No IMS point within tolerance
McNaughton Legacy SHRIMP,FL11 ZR WITH INCLUSIONS,No IMS point within tolerance
McNaughton Legacy SHRIMP,FORTRESS HILL,No IMS point within tolerance
McNaughton Legacy SHRIMP,GC588,No IMS point within tolerance
McNaughton Legacy SHRIMP,GCPIT627,No IMS point within tolerance
McNaughton Legacy SHRIMP,GG-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,GG-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,GMPO,No IMS point within tolerance
McNaughton Legacy SHRIMP,GNE,No IMS point within tolerance
McNaughton Legacy SHRIMP,GOBBO'S,No IMS point within tolerance
McNaughton Legacy SHRIMP,GWALIA SLATE,No IMS point within tolerance
McNaughton Legacy SHRIMP,HB08-5,No IMS point within tolerance
McNaughton Legacy SHRIMP,HB08-6,No IMS point within tolerance
McNaughton Legacy SHRIMP,HB08-8A,No IMS point within tolerance
McNaughton Legacy SHRIMP,HB08-8A (NM),No IMS point within tolerance
McNaughton Legacy SHRIMP,HM-18,No IMS point within tolerance
McNaughton Legacy SHRIMP,HORSE 01,No IMS point within tolerance
McNaughton Legacy SHRIMP,J2,No IMS point within tolerance
McNaughton Legacy SHRIMP,J3,No IMS point within tolerance
McNaughton Legacy SHRIMP,JBS17,No IMS point within tolerance
McNaughton Legacy SHRIMP,JBS33,No IMS point within tolerance
McNaughton Legacy SHRIMP,JBS35,No IMS point within tolerance
McNaughton Legacy SHRIMP,JBS44,No IMS point within tolerance
McNaughton Legacy SHRIMP,JG01,No IMS point within tolerance
McNaughton Legacy SHRIMP,JG02,No IMS point within tolerance
McNaughton Legacy SHRIMP,JG03,No IMS point within tolerance
McNaughton Legacy SHRIMP,JH-54,No IMS point within tolerance
McNaughton Legacy SHRIMP,JHT-1A,No IMS point within tolerance
McNaughton Legacy SHRIMP,JHT-1B,No IMS point within tolerance
McNaughton Legacy SHRIMP,JRDC 8044,No IMS point within tolerance
McNaughton Legacy SHRIMP,JS20,No IMS point within tolerance
McNaughton Legacy SHRIMP,JS25,No IMS point within tolerance
McNaughton Legacy SHRIMP,JS44,No IMS point within tolerance
McNaughton Legacy SHRIMP,JUNDEE,No IMS point within tolerance
McNaughton Legacy SHRIMP,JUPITER,No IMS point within tolerance
McNaughton Legacy SHRIMP,K1,No IMS point within tolerance
McNaughton Legacy SHRIMP,K4,No IMS point within tolerance
McNaughton Legacy SHRIMP,KI/80,No IMS point within tolerance
McNaughton Legacy SHRIMP,KI/84,No IMS point within tolerance
McNaughton Legacy SHRIMP,KND 133: 153-156,No IMS point within tolerance
McNaughton Legacy SHRIMP,KND 174: 164.1-165,No IMS point within tolerance
McNaughton Legacy SHRIMP,KU-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,KU-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,KU-3,No IMS point within tolerance
McNaughton Legacy SHRIMP,KU-5,No IMS point within tolerance
McNaughton Legacy SHRIMP,KWA-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,KWAD11,No IMS point within tolerance
McNaughton Legacy SHRIMP,L465958,No IMS point within tolerance
McNaughton Legacy SHRIMP,LEUCOGRANITE,No IMS point within tolerance
McNaughton Legacy SHRIMP,M95-028A,No IMS point within tolerance
McNaughton Legacy SHRIMP,M95-028B,No IMS point within tolerance
McNaughton Legacy SHRIMP,M95-556A,No IMS point within tolerance
McNaughton Legacy SHRIMP,MANGANESE GROUP,No IMS point within tolerance
McNaughton Legacy SHRIMP,MB,No IMS point within tolerance
McNaughton Legacy SHRIMP,MD 10,No IMS point within tolerance
McNaughton Legacy SHRIMP,MD 12,No IMS point within tolerance
McNaughton Legacy SHRIMP,MD 3,No IMS point within tolerance
McNaughton Legacy SHRIMP,MD 4,No IMS point within tolerance
McNaughton Legacy SHRIMP,MD 9,No IMS point within tolerance
McNaughton Legacy SHRIMP,MD3,No IMS point within tolerance
McNaughton Legacy SHRIMP,METQTZ1,No IMS point within tolerance
McNaughton Legacy SHRIMP,MGS-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,MOND,No IMS point within tolerance
McNaughton Legacy SHRIMP,MQ,No IMS point within tolerance
McNaughton Legacy SHRIMP,MTM 1A,No IMS point within tolerance
McNaughton Legacy SHRIMP,MTM 1B,No IMS point within tolerance
McNaughton Legacy SHRIMP,MTM 7,No IMS point within tolerance
McNaughton Legacy SHRIMP,MTM 8B,No IMS point within tolerance
McNaughton Legacy SHRIMP,MTM 9,No IMS point within tolerance
McNaughton Legacy SHRIMP,MW-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,N3162,No IMS point within tolerance
McNaughton Legacy SHRIMP,N4259,No IMS point within tolerance
McNaughton Legacy SHRIMP,N4436,No IMS point within tolerance
McNaughton Legacy SHRIMP,N4450,No IMS point within tolerance
McNaughton Legacy SHRIMP,NG-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,NIM-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,ORC-6-21,No IMS point within tolerance
McNaughton Legacy SHRIMP,P1,No IMS point within tolerance
